,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Georgetown,MY,82.99,few clouds,5.4112,100.3354,Cititel Penang
4,Vaini,TO,86.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
10,Puerto Ayora,EC,78.01,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
15,Namatanai,PG,84.58,overcast clouds,-3.6667,152.4333,Namatanai Hotel
17,Rikitea,PF,79.5,clear sky,-23.1203,-134.9692,Pension Maro'i
23,Avarua,CK,82.4,broken clouds,-21.2078,-159.775,Paradise Inn
32,Alofi,NU,80.6,light rain,-19.0595,-169.9187,Taloa Heights
34,Atuona,PF,79.12,broken clouds,-9.8,-139.0333,Villa Enata
42,Grenville,GD,78.8,few clouds,12.1167,-61.6167,Valley Breeze Guest House
45,Muisne,EC,77.18,light rain,0.6,-80.0333,Quinta Samay
47,Butaritari,KI,81.21,broken clouds,3.0707,172.7902,Isles Sunset Lodge
52,Esperance,AU,78.8,clear sky,-33.8667,121.9,Hospitality Esperance
65,Busselton,AU,82.99,clear sky,-33.65,115.3333,Observatory Guest House
67,Sumenep,ID,83.23,broken clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
72,Grand Gaube,MU,77.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
74,Bundaberg,AU,86.0,scattered clouds,-24.85,152.35,Takalvan Motel
77,Lorengau,PG,82.45,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
78,Teahupoo,PF,80.6,light rain,-17.8333,-149.2667,Vanira Lodge
84,Tirumullaivasal,IN,76.06,scattered clouds,11.2333,79.8333,Hajaali
85,Byron Bay,AU,82.4,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
96,Sibolga,ID,81.91,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
97,Hithadhoo,MV,81.68,few clouds,-0.6,73.0833,Scoop Guest House
99,Kapaa,US,75.2,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
107,Coolum Beach,AU,82.99,few clouds,-26.5333,153.1,Palmer Coolum Resort
108,Vila Velha,BR,78.8,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
109,Fare,PF,81.57,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
118,Hilo,US,78.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
121,Ugoofaaru,MV,82.09,overcast clouds,5.6667,73.0,Ungoofaaru Inn
130,Chazuta,PE,78.8,few clouds,-6.5742,-76.1367,Hospedaje Feliz Amanecer
131,Sa Kaeo,TH,77.74,few clouds,13.75,102.3333,บ้านร่มฉัตร รีสอร์ท
139,Natal,BR,77.0,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
147,Florianopolis,BR,80.01,clear sky,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
148,Bambous Virieux,MU,78.8,few clouds,-20.3428,57.7575,Casa Tia Villa
150,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
153,Arraial Do Cabo,BR,76.82,clear sky,-22.9661,-42.0278,Pousada Porto Praia
