,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,16.0,85,3,5.53,clear sky
1,Ushuaia,AR,-54.8,-68.3,48.2,71,20,23.02,few clouds
2,Cape Town,ZA,-33.9258,18.4232,70.0,82,75,8.05,broken clouds
3,Georgetown,MY,5.4112,100.3354,82.99,57,20,9.22,few clouds
4,Vaini,TO,-21.2,-175.2,86.0,79,75,13.8,broken clouds
5,Kayasula,RU,44.325,45.0,35.08,91,96,8.23,overcast clouds
6,Skibbereen,IE,51.55,-9.2667,41.0,93,75,14.97,light rain
7,Leningradskiy,RU,69.3833,178.4167,-27.11,82,0,4.34,clear sky
8,Hobart,AU,-42.8794,147.3294,73.99,45,75,11.5,broken clouds
9,Chase,CA,50.8165,-119.6857,33.01,100,100,3.47,overcast clouds
10,Puerto Ayora,EC,-0.7393,-90.3518,78.01,89,42,5.01,scattered clouds
11,Mataura,NZ,-46.1927,168.8643,71.82,37,98,3.74,overcast clouds
12,Saldanha,ZA,-33.0117,17.9442,63.59,93,0,2.48,clear sky
13,Jamestown,US,42.097,-79.2353,18.0,79,1,5.75,clear sky
14,Ponta Do Sol,PT,32.6667,-17.1,57.99,74,22,5.01,few clouds
15,Namatanai,PG,-3.6667,152.4333,84.58,66,100,13.51,overcast clouds
16,Torbay,CA,47.6666,-52.7314,28.99,100,90,9.22,light snow
17,Rikitea,PF,-23.1203,-134.9692,79.5,70,0,11.32,clear sky
18,Sistranda,NO,63.7256,8.834,28.4,86,40,4.61,scattered clouds
19,Beringovskiy,RU,63.05,179.3167,6.33,94,100,30.67,snow
20,Longyearbyen,SJ,78.2186,15.6401,-5.8,59,20,20.71,few clouds
21,Dombarovskiy,RU,50.7587,59.5386,8.82,94,0,5.21,clear sky
22,Nantucket,US,41.2835,-70.0995,19.99,49,1,16.11,clear sky
23,Avarua,CK,-21.2078,-159.775,82.4,74,75,3.44,broken clouds
24,Svetlaya,RU,46.5389,138.3297,6.35,79,25,7.11,scattered clouds
25,Hasaki,JP,35.7333,140.8333,50.0,37,20,17.27,few clouds
26,East London,ZA,-33.0153,27.9116,70.3,84,80,3.04,broken clouds
27,Saskylakh,RU,71.9167,114.0833,-33.57,82,100,10.92,overcast clouds
28,Ancud,CL,-41.8697,-73.8203,53.01,76,0,3.44,clear sky
29,Saint George,US,37.1041,-113.5841,44.6,65,1,3.44,clear sky
30,Constitucion,CL,-35.3333,-72.4167,59.31,93,28,8.03,scattered clouds
