City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint-Denis,FR,48.9167,2.3333,48.99,93,90,4.61,overcast clouds
1,Juneau,US,58.3019,-134.4197,19.99,79,1,7.36,clear sky
2,Tolaga Bay,NZ,-38.3667,178.3,57.99,73,89,4.85,overcast clouds
3,Rikitea,PF,-23.1203,-134.9692,78.57,70,16,9.78,few clouds
4,San Patricio,US,28.017,-97.5169,66.2,52,1,10.36,clear sky
5,Albany,US,42.6001,-73.9662,12.0,57,99,3.62,overcast clouds
6,Nome,US,64.5011,-165.4064,-5.8,65,20,6.91,few clouds
7,Pochutla,MX,15.7432,-96.4661,84.99,57,1,3.87,clear sky
8,Sterling,US,39.0062,-77.4286,32.0,93,90,8.05,light snow
9,Mataura,NZ,-46.1927,168.8643,55.33,70,100,2.26,light rain
10,Saint George,US,37.1041,-113.5841,26.6,100,1,3.78,clear sky
11,Hanzhong,CN,33.0728,107.0303,47.89,49,100,1.3,overcast clouds
12,Butaritari,KI,3.0707,172.7902,80.44,83,59,13.8,light rain
13,Longyearbyen,SJ,78.2186,15.6401,-4.0,41,20,19.57,few clouds
14,Kongolo,CD,-5.3833,27.0,77.97,86,100,3.8,light rain
15,Vaini,TO,-21.2,-175.2,75.2,94,90,8.05,light rain
16,Port Alfred,ZA,-33.5906,26.891,75.99,75,3,3.0,clear sky
17,Wukari,NG,7.85,9.7833,99.34,9,4,6.02,clear sky
18,Hermanus,ZA,-34.4187,19.2345,75.99,68,27,8.99,light rain
19,Saint-Philippe,RE,-21.3585,55.7679,82.4,65,20,25.32,few clouds
20,Kalevala,RU,65.2,31.1667,13.55,96,100,4.29,light snow
21,Basco,PH,20.4487,121.9702,70.97,73,98,23.71,overcast clouds
22,Port Moresby,PG,-9.4431,147.1797,73.4,100,90,9.22,moderate rain
23,Cherskiy,RU,68.75,161.3,-22.79,81,100,3.56,overcast clouds
24,Xuanwu,CN,32.069,118.8138,46.99,100,100,2.24,mist
25,Berlevag,NO,70.8578,29.0864,24.8,93,90,19.57,snow
26,Hongjiang,CN,27.11,109.9956,48.99,88,77,3.02,light rain
27,Tautira,PF,-17.7333,-149.15,75.2,73,40,3.44,scattered clouds
28,Ribeira Grande,PT,38.5167,-28.7,64.4,94,75,12.66,broken clouds
29,Kibray,UZ,41.3873,69.4641,50.0,57,75,4.61,smoke
30,Katsuura,JP,35.1333,140.3,44.01,48,75,8.05,broken clouds
31,Margate,GB,51.3813,1.3862,37.99,86,100,4.0,overcast clouds
32,Ushuaia,AR,-54.8,-68.3,51.8,58,75,5.75,broken clouds
33,Mar Del Plata,AR,-38.0023,-57.5575,62.6,67,90,17.27,overcast clouds
34,Nyurba,RU,63.2842,118.3319,-48.14,76,55,2.95,broken clouds
35,Bluff,NZ,-46.6,168.3333,54.79,85,100,7.27,overcast clouds
36,New Norfolk,AU,-42.7826,147.0587,59.0,63,64,2.46,broken clouds
37,Chuy,UY,-33.6971,-53.4616,68.56,88,100,18.1,overcast clouds
38,Kodiak,US,57.79,-152.4072,28.4,46,1,12.66,clear sky
39,Busselton,AU,-33.65,115.3333,64.99,81,0,3.0,clear sky
40,Ukiah,US,39.1502,-123.2078,46.4,87,90,8.05,mist
41,Sao Filipe,CV,14.8961,-24.4956,76.77,57,6,10.71,clear sky
42,Totness,SR,5.8833,-56.3167,81.59,70,48,14.9,scattered clouds
43,Gaziantep,TR,37.0594,37.3825,41.0,93,90,13.8,overcast clouds
