City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,San Juan,AR,2021-01-27 16:18:22,-31.5375,-68.5364,88.07,32,0,3.67
1,Coquimbo,CL,2021-01-27 16:18:36,-29.9533,-71.3436,66.2,72,0,12.66
2,Hermanus,ZA,2021-01-27 16:18:37,-34.4187,19.2345,72.0,52,82,3.0
3,Avarua,CK,2021-01-27 16:18:21,-21.2078,-159.775,80.6,78,75,17.27
4,Dikson,RU,2021-01-27 16:18:37,73.5069,80.5464,-21.15,86,100,7.78
5,Souillac,MU,2021-01-27 16:18:37,-20.5167,57.5167,80.6,74,20,5.75
6,Busselton,AU,2021-01-27 16:18:37,-33.65,115.3333,54.0,78,0,14.5
7,El Rosario,MX,2021-01-27 16:18:38,24.2556,-107.1828,57.0,69,99,1.01
8,Vaini,TO,2021-01-27 16:18:38,-21.2,-175.2,73.4,94,90,3.44
9,Bluff,NZ,2021-01-27 16:18:38,-46.6,168.3333,53.01,76,76,23.0
10,Bethel,US,2021-01-27 16:17:40,41.3712,-73.414,33.01,74,90,10.36
11,Upernavik,GL,2021-01-27 16:18:38,72.7868,-56.1549,0.43,91,100,3.6
12,Lebu,CL,2021-01-27 16:18:39,-37.6167,-73.65,60.26,66,98,8.75
13,Albany,US,2021-01-27 16:15:39,42.6001,-73.9662,30.99,64,92,5.99
14,Gat,IL,2021-01-27 16:18:39,31.61,34.7642,62.01,50,60,3.33
15,Mwinilunga,ZM,2021-01-27 16:18:39,-11.7358,24.4293,68.88,90,95,2.48
16,Jatara,IN,2021-01-27 16:18:39,25.0167,79.05,51.69,46,0,5.26
17,Longyearbyen,SJ,2021-01-27 16:18:40,78.2186,15.6401,6.8,72,20,16.11
18,Haines Junction,CA,2021-01-27 16:18:40,60.7522,-137.5108,-27.4,68,45,2.3
19,Kutum,SD,2021-01-27 16:18:40,14.2,24.6667,79.09,16,41,9.6
20,Alta Floresta,BR,2021-01-27 16:18:40,-9.8756,-56.0861,72.81,96,100,2.15
21,Fairbanks,US,2021-01-27 16:18:41,64.8378,-147.7164,-6.0,76,1,2.15
22,Khatanga,RU,2021-01-27 16:18:41,71.9667,102.5,-28.44,80,1,8.5
23,Ancud,CL,2021-01-27 16:18:41,-41.8697,-73.8203,60.01,88,75,9.22
24,Port-Gentil,GA,2021-01-27 16:18:41,-0.7193,8.7815,80.6,78,20,2.3
25,Bonavista,CA,2021-01-27 16:18:41,48.6499,-53.1147,30.99,93,78,5.75
26,Mmabatho,ZA,2021-01-27 16:18:42,-25.85,25.6333,75.24,69,100,10.56
27,Arraial Do Cabo,BR,2021-01-27 16:18:42,-22.9661,-42.0278,93.2,51,20,14.97
28,Auki,SB,2021-01-27 16:18:42,-8.7676,160.7034,79.79,85,97,9.22
29,Puerto Ayora,EC,2021-01-27 16:18:43,-0.7393,-90.3518,82.4,74,75,12.66
30,Rikitea,PF,2021-01-27 16:18:43,-23.1203,-134.9692,79.77,71,0,14.65
31,Severnyy,RU,2021-01-27 16:18:43,50.677,36.5532,35.6,100,90,6.71
32,Nhulunbuy,AU,2021-01-27 16:18:43,-12.2333,136.7667,80.6,83,40,6.91
33,New Plymouth,NZ,2021-01-27 16:18:44,-39.0667,174.0833,57.0,95,35,3.0
34,Doha,QA,2021-01-27 16:13:56,25.2867,51.5333,69.8,56,0,9.22
35,Piacabucu,BR,2021-01-27 16:18:44,-10.4056,-36.4344,84.65,62,77,12.73
36,Romhany,HU,2021-01-27 16:18:44,47.9262,19.2572,35.01,69,40,6.91
37,Hilo,US,2021-01-27 16:14:58,19.7297,-155.09,68.0,88,90,5.66
38,Bengkulu,ID,2021-01-27 16:18:45,-3.8004,102.2655,75.87,93,100,10.78
39,Houma,US,2021-01-27 16:18:45,29.5958,-90.7195,69.01,94,90,16.11
40,Bredasdorp,ZA,2021-01-27 16:18:45,-34.5322,20.0403,73.4,38,79,6.91
41,Maues,BR,2021-01-27 16:18:45,-3.3836,-57.7186,87.8,60,100,4.61
42,Sipe Sipe,BO,2021-01-27 16:18:45,-17.45,-66.3833,77.0,27,20,4.61
43,Minsk,BY,2021-01-27 16:18:46,53.9,27.5667,32.0,93,90,8.95
44,East London,ZA,2021-01-27 16:18:46,-33.0153,27.9116,66.2,94,90,13.8
45,Udachnyy,RU,2021-01-27 16:18:46,66.4167,112.4,-40.61,79,14,0.6
46,Kalmunai,LK,2021-01-27 16:18:46,7.4167,81.8167,76.33,77,100,11.32
47,Kemijarvi,FI,2021-01-27 16:18:47,66.7131,27.4306,13.35,95,100,8.86
48,Jamestown,US,2021-01-27 16:15:23,42.097,-79.2353,27.0,86,90,10.0
49,Yerbogachen,RU,2021-01-27 16:18:47,61.2767,108.0108,-39.82,81,38,2.98
50,Natal,BR,2021-01-27 16:18:47,-5.795,-35.2094,87.8,62,75,18.41
51,Nome,US,2021-01-27 16:17:38,64.5011,-165.4064,-0.4,85,20,6.71
52,Ushuaia,AR,2021-01-27 16:18:48,-54.8,-68.3,44.6,70,75,20.71
53,Kingaroy,AU,2021-01-27 16:18:48,-26.5333,151.8333,71.6,83,90,5.75
54,Provideniya,RU,2021-01-27 16:18:48,64.3833,-173.3,-0.31,88,100,22.95
55,Atuona,PF,2021-01-27 16:18:48,-9.8,-139.0333,77.95,77,2,15.08
56,Kedrovyy,RU,2021-01-27 16:18:48,56.1667,91.8167,8.6,78,75,20.13
57,Sao Felix Do Xingu,BR,2021-01-27 16:18:48,-6.6447,-51.995,87.08,61,96,1.59
58,Araouane,ML,2021-01-27 16:18:49,18.9048,-3.5265,86.85,11,0,12.3
59,Constitucion,CL,2021-01-27 16:18:49,-35.3333,-72.4167,66.24,49,12,15.97
60,Thompson,CA,2021-01-27 16:15:13,55.7435,-97.8558,-20.2,83,90,4.61
61,Portland,US,2021-01-27 16:15:57,45.5234,-122.6762,37.99,93,100,4.41
62,Dubbo,AU,2021-01-27 16:14:03,-32.25,148.6167,69.8,68,6,14.97
63,Saint Anthony,US,2021-01-27 16:18:50,45.0205,-93.218,10.4,61,90,5.75
64,Akyab,MM,2021-01-27 16:18:50,20.15,92.9,67.95,58,0,11.72
65,Guerrero Negro,MX,2021-01-27 16:18:50,27.9769,-114.0611,55.98,54,100,4.99
66,Kodiak,US,2021-01-27 16:18:51,57.79,-152.4072,28.4,80,90,3.44
67,New Norfolk,AU,2021-01-27 16:18:51,-42.7826,147.0587,55.0,64,83,1.39
68,Bambous Virieux,MU,2021-01-27 16:18:51,-20.3428,57.7575,80.6,74,20,5.75
69,Petropavlovsk-Kamchatskiy,RU,2021-01-27 16:18:51,53.0452,158.6483,10.4,67,0,6.71
70,Saint-Philippe,RE,2021-01-27 16:18:52,-21.3585,55.7679,82.4,69,0,10.36
71,Kapaa,US,2021-01-27 16:18:52,22.0752,-159.319,73.99,88,75,13.8
72,Egvekinot,RU,2021-01-27 16:18:52,66.3167,-179.1667,-13.76,87,100,20.27
73,Lata,PT,2021-01-27 16:18:52,40.1629,-8.3327,60.01,88,75,2.3
74,Nalut,LY,2021-01-27 16:18:52,30.3333,10.85,59.09,32,0,7.14
75,Barrow,US,2021-01-27 16:18:53,71.2906,-156.7887,-11.2,84,90,6.33
76,Punta Arenas,CL,2021-01-27 16:18:53,-53.15,-70.9167,46.4,61,0,26.46
77,Neuquen,AR,2021-01-27 16:18:53,-38.9516,-68.0591,69.8,30,0,4.61
78,Mataura,NZ,2021-01-27 16:18:53,-46.1927,168.8643,53.01,76,73,23.0
79,Dwarka,IN,2021-01-27 16:18:53,22.2394,68.9678,67.23,53,0,12.1
80,Katobu,ID,2021-01-27 16:18:54,-4.9408,122.5276,76.69,89,100,0.76
81,Hobart,AU,2021-01-27 16:15:38,-42.8794,147.3294,55.4,50,90,4.61
82,Nouadhibou,MR,2021-01-27 16:18:54,20.931,-17.0347,80.6,44,0,10.36
83,Fare,PF,2021-01-27 16:18:54,-16.7,-151.0167,80.04,75,41,15.23
84,Dukat,RU,2021-01-27 16:18:54,62.55,155.55,-38.27,80,100,5.37
85,Kondagaon,IN,2021-01-27 16:18:55,19.6,81.6667,72.73,41,70,3.65
86,Kaitangata,NZ,2021-01-27 16:18:55,-46.2817,169.8464,53.01,72,33,17.0
87,Walvis Bay,NA,2021-01-27 16:18:55,-22.9575,14.5053,71.6,68,22,8.05
88,La Primavera,CO,2021-01-27 16:18:55,5.4906,-70.4092,88.99,45,75,14.41
89,Cabo San Lucas,MX,2021-01-27 16:18:56,22.8909,-109.9124,64.0,52,100,10.0
90,Georgetown,MY,2021-01-27 16:18:31,5.4112,100.3354,79.0,88,40,4.03
91,Nikolskoye,RU,2021-01-27 16:18:56,59.7035,30.7861,33.8,86,75,2.24
92,Cape Town,ZA,2021-01-27 16:18:56,-33.9258,18.4232,71.6,46,0,27.63
93,Alice Springs,AU,2021-01-27 16:18:57,-23.7,133.8833,75.2,83,40,8.05
94,Colares,PT,2021-01-27 16:18:57,38.7992,-9.4469,61.0,88,40,3.44
95,Sur,OM,2021-01-27 16:18:57,22.5667,59.5289,68.41,71,0,11.23
96,Makakilo City,US,2021-01-27 16:18:57,21.3469,-158.0858,73.4,73,20,5.75
97,Esperance,AU,2021-01-27 16:18:57,-33.8667,121.9,62.6,94,90,9.22
98,El Alto,PE,2021-01-27 16:18:58,-4.2714,-81.2147,84.2,54,0,14.97
99,Dunedin,NZ,2021-01-27 16:18:58,-45.8742,170.5036,55.0,75,25,8.01
100,Shediac,CA,2021-01-27 16:18:58,46.2198,-64.5411,35.01,80,75,13.8
101,Libertador General San Martin,AR,2021-01-27 16:18:58,-23.8064,-64.7876,96.73,27,4,3.83
102,Talcahuano,CL,2021-01-27 16:18:59,-36.7167,-73.1167,68.0,52,0,18.41
103,Rocha,UY,2021-01-27 16:18:59,-34.4833,-54.3333,83.43,57,100,14.25
104,Vanimo,PG,2021-01-27 16:18:59,-2.6741,141.3028,77.27,88,100,7.61
105,Wattegama,LK,2021-01-27 16:18:59,6.7989,81.4808,75.2,94,20,6.91
106,Shahr-E Babak,IR,2021-01-27 16:18:59,30.1165,55.1186,43.84,48,0,1.77
107,Hithadhoo,MV,2021-01-27 16:19:00,-0.6,73.0833,81.7,78,20,13.94
108,Bundaberg,AU,2021-01-27 16:19:00,-24.85,152.35,73.99,88,34,5.75
109,Nsunga,TZ,2021-01-27 16:19:00,-1.1439,31.3947,77.0,73,20,5.75
110,Mandalgovi,MN,2021-01-27 16:19:00,45.7625,106.2708,-12.59,82,0,7.09
111,Cidreira,BR,2021-01-27 16:19:00,-30.1811,-50.2056,83.86,64,97,6.53
112,Faanui,PF,2021-01-27 16:19:00,-16.4833,-151.75,80.42,74,28,15.84
113,Dori,BF,2021-01-27 16:19:01,14.0354,-0.0345,92.48,8,0,11.48
114,Chokurdakh,RU,2021-01-27 16:19:01,70.6333,147.9167,-20.58,86,100,13.2
115,Ilulissat,GL,2021-01-27 16:19:01,69.2167,-51.1,14.0,48,75,6.91
116,Torbay,CA,2021-01-27 16:19:02,47.6666,-52.7314,32.0,86,75,12.66
117,Ribeira Grande,PT,2021-01-27 16:19:02,38.5167,-28.7,64.4,82,40,25.32
118,Codrington,AU,2021-01-27 16:19:02,-38.2667,141.9667,57.04,86,2,9.86
119,Kenai,US,2021-01-27 16:19:02,60.5544,-151.2583,8.01,77,1,4.61
120,Pevek,RU,2021-01-27 16:19:03,69.7008,170.3133,-26.57,85,100,2.71
121,Tuktoyaktuk,CA,2021-01-27 16:19:03,69.4541,-133.0374,-14.8,76,90,6.91
122,Mehamn,NO,2021-01-27 16:19:03,71.0357,27.8492,23.0,86,90,14.97
123,Nasice,HR,2021-01-27 16:19:04,45.4886,18.0878,36.0,76,70,1.01
124,Rafsanjan,IR,2021-01-27 16:19:04,30.4067,55.9939,48.33,38,0,1.41
125,Qaanaaq,GL,2021-01-27 16:15:11,77.484,-69.3632,-14.98,64,0,5.99
126,Denpasar,ID,2021-01-27 16:19:05,-8.65,115.2167,80.6,89,40,13.8
127,Gonaives,HT,2021-01-27 16:17:56,19.45,-72.6833,84.11,50,1,1.05
128,Asau,RO,2021-01-27 16:19:05,46.4333,26.4,32.0,51,100,6.42
129,San Quintin,MX,2021-01-27 16:19:05,30.4833,-115.95,53.24,49,8,2.13
130,Port Alfred,ZA,2021-01-27 16:19:05,-33.5906,26.891,68.0,90,92,5.01
131,Uruzgan,AF,2021-01-27 16:19:06,32.8333,66.0,36.01,62,0,1.23
132,Samarai,PG,2021-01-27 16:19:06,-10.6167,150.6667,81.73,79,100,11.72
133,Victoria,HK,2021-01-27 16:15:14,22.2855,114.1577,64.0,85,30,1.01
134,Port Elizabeth,ZA,2021-01-27 16:16:32,-33.918,25.5701,66.2,94,75,13.8
135,Samarinda,ID,2021-01-27 16:19:07,-0.5,117.15,74.84,95,98,0.76
136,Kushima,JP,2021-01-27 16:19:07,31.4583,131.2333,44.01,93,4,4.0
137,Port Hawkesbury,CA,2021-01-27 16:19:07,45.6169,-61.3485,35.01,69,75,9.22
138,Mutoko,ZW,2021-01-27 16:19:07,-17.397,32.2268,71.92,83,75,4.7
139,Pirgos,GR,2021-01-27 16:19:07,35.1167,25.7178,53.01,31,23,21.77
140,Tignere,CM,2021-01-27 16:19:08,7.3667,12.65,87.21,14,16,8.72
141,Nyazepetrovsk,RU,2021-01-27 16:19:08,56.0531,59.6028,20.26,97,93,7.76
142,Havoysund,NO,2021-01-27 16:19:08,70.9963,24.6622,24.8,74,40,19.57
143,Murree,PK,2021-01-27 16:19:08,33.9073,73.393,53.01,46,25,1.01
144,Narsaq,GL,2021-01-27 16:19:08,60.9167,-46.05,35.6,32,75,32.21
145,Caluquembe,AO,2021-01-27 16:19:09,-13.7833,14.6833,78.04,32,60,8.25
146,Jurm,AF,2021-01-27 16:19:09,36.8648,70.8342,23.43,64,0,5.66
147,Airai,TL,2021-01-27 16:19:09,-8.9266,125.4092,61.75,100,100,3.44
148,Tosham,IN,2021-01-27 16:19:09,28.8833,75.9167,55.08,36,0,4.12
149,Princeton,US,2021-01-27 16:19:09,25.5384,-80.4089,82.99,57,20,8.05
150,Omboue,GA,2021-01-27 16:19:10,-1.5746,9.2618,78.78,84,100,7.67
151,Santa Helena De Goias,BR,2021-01-27 16:19:10,-17.8136,-50.5969,85.35,58,94,7.78
152,Dudinka,RU,2021-01-27 16:19:10,69.4058,86.1778,-20.85,84,100,4.79
153,Atambua,ID,2021-01-27 16:19:10,-9.1061,124.8925,75.06,87,100,3.51
154,Kavieng,PG,2021-01-27 16:19:10,-2.5744,150.7967,83.32,73,71,10.22
155,Lagoa,PT,2021-01-27 16:19:11,39.05,-27.9833,60.94,81,32,27.47
156,Belmonte,BR,2021-01-27 16:19:11,-15.8631,-38.8828,84.2,58,40,8.05
157,Jizan,SA,2021-01-27 16:19:11,17.3333,42.6667,78.8,73,0,10.36
158,The Valley,AI,2021-01-27 16:15:57,18.217,-63.0578,84.2,61,20,17.27
159,Bilma,NE,2021-01-27 16:19:11,18.6853,12.9164,80.35,14,0,10.71
160,Ponta Do Sol,PT,2021-01-27 16:19:12,32.6667,-17.1,66.2,82,20,9.22
161,Elbistan,TR,2021-01-27 16:19:12,38.2059,37.1983,31.98,93,98,6.76
162,Colac,AU,2021-01-27 16:19:12,-38.3333,143.5833,59.0,90,92,11.01
163,Kaeo,NZ,2021-01-27 16:19:12,-35.1,173.7833,64.99,89,15,3.0
164,Cockburn Town,TC,2021-01-27 16:19:12,21.4612,-71.1419,75.97,76,1,17.67
165,Cherskiy,RU,2021-01-27 16:19:13,68.75,161.3,-24.79,84,100,3.38
166,Isangel,VU,2021-01-27 16:19:13,-19.55,169.2667,80.6,83,75,15.26
167,Cordoba,AR,2021-01-27 16:18:34,-31.4135,-64.1811,95.0,48,40,4.61
168,Deer Lake,CA,2021-01-27 16:19:13,49.1667,-57.4316,30.2,74,75,6.91
169,Atyrau,KZ,2021-01-27 16:19:13,47.1167,51.8833,23.0,74,0,17.9
170,Orleans,US,2021-01-27 16:19:14,30.0335,-89.9501,66.99,88,90,12.66
171,Talnakh,RU,2021-01-27 16:19:14,69.4865,88.3972,-19.39,84,100,4.09
172,Macau,MO,2021-01-27 16:19:14,22.2006,113.5461,64.4,82,0,8.05
173,Margate,GB,2021-01-27 16:19:14,51.3813,1.3862,48.99,81,100,8.01
174,Vila,PT,2021-01-27 16:19:15,42.0304,-8.1588,55.0,96,100,5.79
175,Soyo,AO,2021-01-27 16:19:15,-6.1349,12.3689,87.8,70,40,6.91
176,Asosa,ET,2021-01-27 16:19:15,10.0667,34.5333,76.59,31,98,1.45
177,Sacramento,US,2021-01-27 16:14:24,38.4666,-121.3177,46.99,81,90,17.27
178,Castro,BR,2021-01-27 16:17:10,-24.7911,-50.0119,77.11,77,100,10.33
179,Plettenberg Bay,ZA,2021-01-27 16:19:16,-34.0527,23.3716,65.17,85,100,8.68
180,Mount Gambier,AU,2021-01-27 16:19:16,-37.8333,140.7667,55.4,94,0,5.75
181,Yellowknife,CA,2021-01-27 16:19:16,62.456,-114.3525,-11.0,77,90,3.44
182,Mar Del Plata,AR,2021-01-27 16:19:16,-38.0023,-57.5575,73.4,53,20,16.11
183,Taiyuan,CN,2021-01-27 16:19:17,37.8694,112.5603,24.8,24,0,13.42
184,Lorengau,PG,2021-01-27 16:19:17,-2.0226,147.2712,82.0,78,100,7.11
185,Andenes,NO,2021-01-27 16:19:17,69.3143,16.1194,28.4,69,0,14.97
186,Saint-Joseph,RE,2021-01-27 16:19:17,-21.3667,55.6167,82.4,69,0,10.36
187,Kruisfontein,ZA,2021-01-27 16:19:17,-34.0033,24.7314,66.0,91,71,5.99
188,Blagodatnoye,RU,2021-01-27 16:19:18,45.3997,42.5867,32.0,100,75,22.37
189,Kaset Sombun,TH,2021-01-27 16:16:26,16.2805,101.9542,75.47,44,14,1.83
190,Raga,SS,2021-01-27 16:19:18,8.4596,25.678,90.61,20,45,4.52
191,Mayo,US,2021-01-27 16:19:18,38.8876,-76.5119,42.01,65,90,5.75
192,Hasaki,JP,2021-01-27 16:19:18,35.7333,140.8333,41.0,65,75,11.5
193,Tasiilaq,GL,2021-01-27 16:19:19,65.6145,-37.6368,21.2,38,90,29.93
194,Agirish,RU,2021-01-27 16:19:19,61.9247,63.0231,1.45,94,99,5.37
195,Richards Bay,ZA,2021-01-27 16:19:19,-28.783,32.0377,75.25,93,100,9.17
